"dateupdated","cnty_cod","county","totalcases","confirmedcases","probablecases","totalcaserate","hospitalization","totaldeaths","confirmeddeaths","probabledeaths"
2020-05-21 00:00:00,1,"Fairfield",14889,NA,NA,1578,226,1195,NA,NA
2020-05-21 00:00:00,2,"Hartford",9463,NA,NA,1060,184,1155,NA,NA
2020-05-21 00:00:00,3,"Litchfield",1298,NA,NA,717,6,121,NA,NA
2020-05-21 00:00:00,4,"Middlesex",992,NA,NA,610,28,135,NA,NA
2020-05-21 00:00:00,5,"New Haven",10756,NA,NA,1254,272,888,NA,NA
2020-05-21 00:00:00,6,"New London",910,NA,NA,341,21,72,NA,NA
2020-05-21 00:00:00,7,"Tolland",796,NA,NA,527,0,55,NA,NA
2020-05-21 00:00:00,8,"Windham",348,NA,NA,297,3,14,NA,NA
2020-05-22 00:00:00,1,"Fairfield",14989,NA,NA,1588,227,1208,NA,NA
2020-05-22 00:00:00,2,"Hartford",9545,NA,NA,1069,179,1169,NA,NA
2020-05-22 00:00:00,3,"Litchfield",1304,NA,NA,720,5,122,NA,NA
2020-05-22 00:00:00,4,"Middlesex",999,NA,NA,614,25,136,NA,NA
2020-05-22 00:00:00,5,"New Haven",10847,NA,NA,1265,265,897,NA,NA
2020-05-22 00:00:00,6,"New London",970,NA,NA,364,20,72,NA,NA
2020-05-22 00:00:00,7,"Tolland",799,NA,NA,529,0,55,NA,NA
2020-05-22 00:00:00,8,"Windham",354,NA,NA,302,3,14,NA,NA
2020-05-23 00:00:00,1,"Fairfield",15114,NA,NA,1601,232,1215,NA,NA
2020-05-23 00:00:00,2,"Hartford",9686,NA,NA,1085,164,1175,NA,NA
2020-05-23 00:00:00,3,"Litchfield",1331,NA,NA,735,5,121,NA,NA
2020-05-23 00:00:00,4,"Middlesex",1010,NA,NA,621,26,136,NA,NA
2020-05-23 00:00:00,5,"New Haven",10905,NA,NA,1272,254,903,NA,NA
2020-05-23 00:00:00,6,"New London",1046,NA,NA,392,17,74,NA,NA
2020-05-23 00:00:00,7,"Tolland",807,NA,NA,535,0,55,NA,NA
2020-05-23 00:00:00,8,"Windham",359,NA,NA,307,3,14,NA,NA
2020-05-24 00:00:00,1,"Fairfield",15213,NA,NA,1612,233,1221,NA,NA
2020-05-24 00:00:00,2,"Hartford",9841,NA,NA,1102,166,1187,NA,NA
2020-05-24 00:00:00,3,"Litchfield",1346,NA,NA,743,6,126,NA,NA
2020-05-24 00:00:00,4,"Middlesex",1012,NA,NA,622,29,138,NA,NA
2020-05-24 00:00:00,5,"New Haven",11017,NA,NA,1285,253,922,NA,NA
2020-05-24 00:00:00,6,"New London",1043,NA,NA,391,16,78,NA,NA
2020-05-24 00:00:00,7,"Tolland",812,NA,NA,538,0,56,NA,NA
2020-05-24 00:00:00,8,"Windham",365,NA,NA,312,3,14,NA,NA
