"lastupdatedate","town_no","town","towntotalcases","townconfirmedcases","townprobablecases","towncaserate","towntotaldeaths","townconfirmeddeaths","townprobabledeaths","peopletested","ratetested100k","numberoftests","numberofpositives","numberofnegatives","numberofindeterminates"
2020-03-24,125,"Sharon",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,25,"Cheshire",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,111,"Plymouth",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,112,"Pomfret",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,113,"Portland",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,114,"Preston",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,115,"Prospect",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,116,"Putnam",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,117,"Redding",6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,15,"Bridgeport",27,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,141,"Thompson",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,75,"Lyme",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,110,"Plainville",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,79,"Marlborough",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,119,"Rocky Hill",8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,96,"New Milford",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,4,"Avon",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,77,"Manchester",5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,20,"Burlington",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,64,"Hartford",14,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,12,"Bolton",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,155,"West Hartford",6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,43,"East Hartford",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,66,"Harwinton",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,74,"Litchfield",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,68,"Kent",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,149,"Warren",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,136,"Sterling",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,52,"Farmington",5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,109,"Plainfield",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,1,"Andover",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,22,"Canterbury",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,153,"Watertown",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,10,"Bethlehem",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,127,"Sherman",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,53,"Franklin",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,133,"Sprague",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,131,"Southington",6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,7,"Berlin",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,28,"Colchester",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,151,"Waterbury",10,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,168,"Woodbury",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,104,"Norwich",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,120,"Roxbury",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,83,"Middletown",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,13,"Bozrah",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,80,"Meriden",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,114,"Preston",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,81,"Middlebury",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,16,"Bridgewater",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,41,"East Haddam",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
