FAIRFIELD,HARTFORD,LITCHFIELD,MIDDLESEX,NEW HAVEN,NEW LONDON,TOLLAND,WINDHAM
9,4,5,26,2,13,1,3
15,7,10,27,6,28,12,19
18,11,16,33,8,45,30,22
34,17,21,36,14,53,32,24
35,20,29,38,25,58,48,39
46,23,31,41,37,59,67,63
51,40,55,42,44,71,78,69
57,43,66,50,60,72,129,109
85,47,68,61,62,73,134,112
90,49,74,70,76,75,142,116
91,52,87,82,80,86,145,123
103,54,92,83,81,95,146,136
117,56,96,106,84,102,160,141
118,64,97,113,88,104,,163
126,65,98,154,93,105,,169
127,77,100,,99,114,,
135,79,111,,101,121,,
138,89,120,,107,133,,
144,94,122,,108,137,,
157,110,125,,115,147,,
158,119,140,,124,152,,
161,128,143,,130,,,
,132,149,,148,,,
,131,150,,151,,,
,139,153,,156,,,
,155,162,,166,,,
,159,168,,167,,,
,164,,,,,,
,165,,,,,,
